Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Carl Soderberg,20192020,ARI,9,1,1,2,0,0.22,14,7.1
Nino Niederreiter,20192020,CAR,7,1,1,2,-6,0.29,17,5.9
Artemi Panarin,20192020,NYR,3,1,1,2,-3,0.67,10,10
Chris Kreider,20192020,NYR,3,1,1,2,0,0.67,9,11.1
Jaccob Slavin,20192020,CAR,8,1,1,2,-2,0.25,13,7.7
Matthew Tkachuk,20192020,CGY,6,1,1,2,1,0.33,10,10
Mika Zibanejad,20192020,NYR,3,1,1,2,-1,0.67,9,11.1
Matt Niskanen,20192020,PHI,15,1,1,2,0,0.13,11,9.1
Dougie Hamilton,20192020,CAR,5,1,1,2,-2,0.4,14,7.1
Matt Duchene,20192020,NSH,4,1,1,2,-4,0.5,11,9.1
Jay Beagle,20192020,VAN,17,1,1,2,2,0.12,10,10
Patric Hornqvist,20192020,PIT,4,1,1,2,-3,0.5,8,12.5
Tyler Ennis,20192020,EDM,3,1,1,2,0,0.67,4,25
Liam Foudy,20192020,CBJ,10,1,1,2,-1,0.2,20,5
Brock McGinn,20192020,CAR,8,1,1,2,0,0.25,8,12.5
Riley Nash,20192020,CBJ,10,1,1,2,-4,0.2,13,7.7
Alex Chiasson,20192020,EDM,4,1,1,2,1,0.5,7,14.3
Derek Forbort,20192020,CGY,10,1,1,2,-1,0.2,11,9.1
Vincent Trocheck,20192020,CAR,8,0,2,2,4,0.25,16,0
Ben Chiarot,20192020,MTL,10,0,2,2,2,0.2,15,0
Derek Grant,20192020,PHI,15,0,2,2,-1,0.13,21,0
Ian Cole,20192020,COL,15,0,2,2,2,0.13,21,0
Shayne Gostisbehere,20192020,PHI,5,0,2,2,2,0.4,10,0
Justin Braun,20192020,PHI,16,0,2,2,0,0.13,18,0
Jason Dickinson,20192020,DAL,18,0,2,2,-7,0.11,17,0
Victor Mete,20192020,MTL,10,0,2,2,1,0.2,1,0
Brady Skjei,20192020,CAR,8,0,2,2,6,0.25,12,0
Derek Ryan,20192020,CGY,10,0,2,2,3,0.2,8,0
Vinnie Hinostroza,20192020,ARI,7,0,2,2,1,0.29,4,0
Erik Johnson,20192020,COL,9,0,2,2,3,0.22,25,0
Ryan Strome,20192020,NYR,3,0,2,2,-3,0.67,6,0
Kasperi Kapanen,20192020,TOR,5,0,2,2,-2,0.4,9,0
Conor Sheary,20192020,PIT,4,0,2,2,3,0.5,6,0
Casey Cizikas,20192020,NYI,18,0,2,2,0,0.11,16,0
Tyler Bozak,20192020,STL,8,0,2,2,-3,0.25,13,0
Erik Cernak,20192020,TBL,15,0,2,2,-2,0.13,19,0
Zdeno Chara,20192020,BOS,13,0,2,2,-4,0.15,13,0
